Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
Starlight,Invasive,3,23.88485457,32.43787405,0.736326139,33.3833,-118.4167,California3,76
St.Augustine_14,Invasive,2,25.98914117,35.23787405,0.737534311,31.61666667,65.71666667,Florida1,79
IranPI227025,Native,5,26.33111708,35.67958869,0.737988246,32.63,48.26,MP-PI227025,68
HungaryW65565,Native,1,16.97842467,22.96218102,0.739408188,47.333333,19.883333,MP-W65565,5
GILNS4_1,Native,1,18.7150689,25.30765972,0.739502155,37.708491,-8.099286,Portugal2,63
GILNS11_4,Native,2,19.17094969,25.72208714,0.745310813,37.708491,-8.099286,Portugal2,76
TurkmenistanW62449,Native,1,21.78725914,29.09882525,0.748733289,37.444722,54.230556,MP-W624449,11
ChilePI368959,Invasive,5,18.4781634,24.61591851,0.750659107,-31.625556,-71.524167,MP-PI368959,35
CMS12_4,Native,1,13.17361553,17.54801487,0.750718279,38.7,-9.1833,Portugal1,71
St.Augustine_14,Invasive,1,18.64794907,24.82287095,0.751240624,31.61666667,65.71666667,Florida1,27
ChilePI368959,Invasive,1,8.2957792,11.02658187,0.752343682,-31.625556,-71.524167,MP-PI368959,35
GILNS10_6,Native,5,20.42547099,27.14398954,0.752485959,37.708491,-8.099286,Portugal2,1
GILNS4_1,Native,5,15.1738768,20.15308528,0.75293071,37.708491,-8.099286,Portugal2,4
AustraliaPI197336,Invasive,3,29.1150689,38.63865786,0.753521745,-34.53333333,138.7333333,PI197336,46
UzbekistanW68297,Native,1,19.39473412,25.63755964,0.756496889,40.066667,68.416667,MP-W68297,53
AustraliaPI197336,Invasive,1,26.38725914,34.8391804,0.757401834,-34.53333333,138.7333333,PI197336,46
BrazilPI404356,Invasive,1,21.44178044,28.27043981,0.758452312,-29.35,-49.733333,MP-PI404356,38
SpainW65325,Native,5,25.85464024,33.92956212,0.762009252,36.533333,-6.3,MP-W65325,49
St.Augustine_14,Invasive,4,27.46587928,35.99349357,0.763079006,31.61666667,65.71666667,Florida1,78
PeruPI308523,Invasive,3,17.21747347,22.51753927,0.764625,-11.25,-74.41,MP-PI308523,74
MaltaW65375,Native,2,20.90142529,27.31780054,0.765121089,35.866667,14.366667,MP-W65375,48
AlgeriaW65435,Native,2,19.39635488,25.33573075,0.765573137,35.7,2.6,MP-W65435,19
MaltaW65375,Native,5,16.49232955,21.51994384,0.766374191,35.866667,14.366667,MP-W65375,48
SpainW65390,Native,1,30.16159268,39.24320573,0.768581264,28.15,-16.633333,MP-W65390,52
PeruPI308523,Invasive,4,7.05542405,9.15763315,0.770441874,-11.25,-74.41,MP-PI308523,74
St.Augustine_14,Invasive,1,24.07764086,31.22851704,0.771014545,31.61666667,65.71666667,Florida1,80
Mt.Wilson_2,Invasive,3,16.30382986,21.12689628,0.771709656,34.2238,-118.0616,California1,82
St.Augustine_14,Invasive,3,24.59018625,31.82072765,0.772772594,31.61666667,65.71666667,Florida1,30
AustraliaPI197336,Invasive,1,16.83963714,21.77686971,0.773280888,-34.53333333,138.7333333,PI197336,44
SpainW65390,Native,4,29.92176007,37.98199326,0.787788041,28.15,-16.633333,MP-W65390,52
TurkmenistanW62449,Native,2,26.6717335,33.76725143,0.78986984,37.444722,54.230556,MP-W624449,55
ChilePI368959,Invasive,2,15.134828,19.1327505,0.791042982,-31.625556,-71.524167,MP-PI368959,36
Mt.Wilson_2,Invasive,3,21.73352165,27.37770666,0.793840109,34.2238,-118.0616,California1,81
AustraliaW65527,Invasive,2,27.47790213,34.59908652,0.794179988,-35.3,149.1333333,MP-W65527,57
CMS12_4,Native,2,38.09661615,47.74294446,0.797952799,38.7,-9.1833,Portugal1,71
